
------------------------------------------------------------
MEAN AVERAGE PRECISION   : 0.6782577145077144
------------------------------------------------------------

------------------------------------------------------------
MEAN RECIPROCAL RANK     : 0.6782577145077144
------------------------------------------------------------

------------------------------------------------------------
PR@5 :
------------------------------------------------------------
1  0.2
2  0.6
3  0.0
4  0.2
5  0.4
6  0.4
7  0.6
8  0.2
9  0.4
10  0.8
11  0.6
12  0.4
13  0.4
14  0.0
15  0.2
16  0.0
17  0.4
18  0.0
19  0.8
20  0.4
21  0.0
22  0.6
23  0.6
24  0.2
25  0.8
26  0.2
27  0.4
28  0.8
29  0.4
30  0.2
31  0.2
32  0.2
33  0.0
36  0.4
37  0.4
38  0.2
39  0.4
40  0.4
42  0.0
43  0.2
44  0.4
45  0.6
48  0.4
49  0.0
57  0.2
58  0.6
59  0.6
60  0.4
61  0.8
62  0.0
63  0.8
64  0.2

------------------------------------------------------------
PR@20 :
------------------------------------------------------------
1  0.1
2  0.15
3  0.05
4  0.1
5  0.1
6  0.1
7  0.25
8  0.1
9  0.2
10  0.65
11  0.4
12  0.1
13  0.2
14  0.2
15  0.1
16  0.2
17  0.2
18  0.15
19  0.3
20  0.1
21  0.15
22  0.35
23  0.2
24  0.05
25  0.45
26  0.25
27  0.35
28  0.2
29  0.45
30  0.05
31  0.1
32  0.05
33  0.05
36  0.35
37  0.2
38  0.35
39  0.25
40  0.1
42  0.15
43  0.35
44  0.1
45  0.35
48  0.1
49  0.0
57  0.05
58  0.4
59  0.35
60  0.3
61  0.55
62  0.05
63  0.45
64  0.05
